name,state,address,lon,lat
St Paul High School,Oregon,St Paul High School ST PAUL Oregon,-122.9751086,45.2141092
Stanfield Secondary School,Oregon,Stanfield Secondary School STANFIELD Oregon,-119.2239582,45.7902779
Stayton High School,Oregon,Stayton High School SUBLIMITY Oregon,-122.8009382,44.8029583
Summit High School,Oregon,Summit High School BEND Oregon,-121.3620584,44.0576535
Summit Learning Charter,Oregon,Summit Learning Charter Portland Oregon,-122.7513352,45.4228982
Sunset High School,Oregon,Sunset High School PORTLAND Oregon,-122.8205103,45.5281211
Sutherlin High School,Oregon,Sutherlin High School SUTHERLIN Oregon,-123.3053303,43.3952725
Sweet Home High School,Oregon,Sweet Home High School SWEET HOME Oregon,-122.72538,44.396926
Taft High School,Oregon,Taft High School LINCOLN CITY Oregon,-124.0153201,44.9378195
The Dalles High School (),Oregon,The Dalles High School (before merger w/Wahtonka) THE DALLES Oregon,-121.1878403,45.5962214
The Dalles Wahtonka High School,Oregon,The Dalles Wahtonka High School THE DALLES Oregon,-121.1878403,45.5962214
Thurston High School,Oregon,Thurston High School SPRINGFIELD Oregon,-122.9250739,44.0487449
Tigard High School,Oregon,Tigard High School TIGARD Oregon,-122.7690493,45.4032698
Tillamook High School,Oregon,Tillamook High School TILLAMOOK Oregon,-123.8357025,45.4482954
Toledo High School,Oregon,Toledo High School TOLEDO Oregon,-123.9218062,44.6335948
Triad School,Oregon,Triad School KLAMATH FALLS Oregon,-121.7399136,42.205108
Triangle Lake High School,Oregon,Triangle Lake High School BLACHLY Oregon,-123.5461091,44.1952169
Trillium Charter School,Oregon,Trillium Charter School Portland Oregon,-122.6815538,45.5621981
Tualatin High School,Oregon,Tualatin High School TUALATIN Oregon,-122.7685559,45.3567675
Tulelake High School,California,Tulelake High School TULELAKE California,-121.4758671,41.9499813
Ukiah High School,Oregon,Ukiah High School Dale Oregon,-118.9334337,45.1355839
Umatilla High School,Oregon,Umatilla High School UMATILLA Oregon,-119.3383474,45.9167482
Umpqua Valley Christian School,Oregon,Umpqua Valley Christian School MYRTLE CREEK Oregon,-123.2405574,43.2051387
Union High School,Oregon,Union High School UNION Oregon,-117.8665216,45.2062294
Vale High School,Oregon,Vale High School VALE Oregon,-117.2521153,43.9787584
Valley Catholic High School,Oregon,Valley Catholic High School PORTLAND Oregon,-122.8294743,45.488505
Vernonia High School,Oregon,Vernonia High School VERNONIA Oregon,-123.178757,45.8607532
Waldport High School,Oregon,Waldport High School WALDPORT Oregon,-124.0672436,44.4054447
Wallowa High School,Oregon,Wallowa High School WALLOWA Oregon,-117.5319746,45.5702242
Warrenton High School,Oregon,Warrenton High School WARRENTON Oregon,-123.9280985,46.1471794
Weed High School,California,Weed High School WEED California,-122.3732224,41.4281933
"Wellness, Business & Sports School",Oregon,"Wellness, Business & Sports School WOODBURN Oregon",-122.8486701,45.1531229
Wellsprings Friends School,Oregon,Wellsprings Friends School EUGENE Oregon,-123.1462493,44.04057890000001
West Albany High School,Oregon,West Albany High School ALBANY Oregon,-123.1172209,44.6227984
West Lane Technology Learning Center,Oregon,West Lane Technology Learning Center WALTON Oregon,-123.3552016,44.0549235
West Linn High School,Oregon,West Linn High School MILWAUKIE Oregon,-122.6163404,45.3640822
West Salem High School,Oregon,West Salem High School SALEM Oregon,-123.0844728,44.9591273
Western Mennonite School,Oregon,Western Mennonite School SALEM Oregon,-123.0765353,45.0659796
Weston-McEwen High School,Oregon,Weston-McEwen High School ATHENA Oregon,-118.4866535,45.8101817
Westside Christian High School,Oregon,Westside Christian High School PORTLAND Oregon,-122.7608102,45.4364248
Westview High School,Oregon,Westview High School BEAVERTON Oregon,-122.8659474,45.5503237
Wheeler High School,Oregon,Wheeler High School FOSSIL Oregon,-120.2136111,45.0014608
Willamette High School,Oregon,Willamette High School EUGENE Oregon,-123.1660575,44.08156049999999
Willamette Leadership Academy,Oregon,Willamette Leadership Academy Eugene Oregon,-123.0084153,43.9947908
Willamina High School,Oregon,Willamina High School WILLAMINA Oregon,-123.4757565,45.0853341
William P Lord High School,Oregon,William P Lord High School HILLSBORO Oregon,-122.8200465,45.15602
Wilson High School,Oregon,Wilson High School PORTLAND Oregon,-122.6899153,45.477306
Wilsonville High School,Oregon,Wilsonville High School WILSONVILLE Oregon,-122.747698,45.3074236
Winston Churchill High School,Oregon,Winston Churchill High School EUGENE Oregon,-123.1513041,44.0394118
"Woodburn Academy of Art, Science & Technology",Oregon,"Woodburn Academy of Art, Science & Technology WOODBURN Oregon",-122.8482198,45.1535502
Woodburn Arts & Communications Academy,Oregon,Woodburn Arts & Communications Academy WOODBURN Oregon,-122.8468871,45.15335289999999
Woodburn Success High School,Oregon,Woodburn Success High School Woodburn Oregon,-122.850945,45.154564
Yamhill-Carlton High School,Oregon,Yamhill-Carlton High School CARLTON Oregon,-123.1868692,45.3432748
Yoncalla High School,Oregon,Yoncalla High School YONCALLA Oregon,-123.2839393,43.5949918
Yreka High School,California,Yreka High School YREKA California,-122.6376503,41.74112299999999
